Word,Rank,Frequency
true,244,61
ought,245,60
see,246,60
century,247,60
since,248,60
trust,249,60
question,250,59
character,251,59
honor,252,59
seek,253,59
toward,254,59
respect,255,59
earth,256,58
like,257,58
cause,258,58
democracy,259,58
principle,260,58
beyond,261,57
influence,262,57
protection,263,56
civil,264,56
stand,265,56
done,266,56
another,267,56
help,268,56
become,269,56
very,270,55
course,271,55
countrymen,272,55
however,273,54
authority,274,54
citizen,275,54
use,276,53
live,277,53
greater,278,53
constitutional,279,53
also,280,53
strong,281,53
economy,282,52
sense,283,52
meet,284,52
experience,285,52
past,286,52
governments,287,51
resources,288,51
individual,289,50
trade,290,50
times,291,50
act,292,50
continue,293,50
love,294,50
nothing,295,50
domestic,296,49
opinion,297,49
children,298,49
control,299,49
cannot,300,49
hand,301,49
oath,302,49
purposes,303,49
defense,304,48
condition,305,48
happiness,306,48
him,307,47
relations,308,47
labor,309,47
go,310,47
opportunity,311,47
whether,312,47
lives,313,46
maintain,314,46
therefore,315,46
having,316,46
regard,317,46
economic,318,46
end,319,46
preserve,320,46
success,321,45
promise,322,45
effort,323,45
hands,324,45
moral,325,45
wisdom,326,45
did,327,45
alone,328,45
two,329,45
does,330,45
importance,331,44
her,332,44
ask,333,44
last,334,44
independence,335,44
either,336,43
form,337,43
parties,338,43
look,339,43
desire,340,43
mind,341,42
measures,342,42
local,343,42
mankind,344,42
circumstances,345,42
legislation,346,42
exercise,347,41
race,348,41
affairs,349,41
fear,350,41
welfare,351,41
how,352,41
danger,353,40
after,354,40
taken,355,40
blessings,356,40
once,357,40
aid,358,40
increase,359,40
task,360,40
say,361,40
ago,362,40
care,363,40
safety,364,39
fair,365,39
essential,366,39
knowledge,367,39
greatest,368,39
body,369,39
peoples,370,39
period,371,39
about,372,39
possible,373,39
favor,374,39
thought,375,39
whom,376,39
heart,377,38
until,378,38
passed,379,38
territory,380,38
throughout,381,38
highest,382,38
making,383,38
civilization,384,38
call,385,38
bring,386,38
questions,387,37
millions,388,37
efforts,389,37
hopes,390,37
example,391,37
limits,392,37
reason,393,37
protect,394,37
occasion,395,37
hold,396,37
effect,397,37
society,398,37
generation,399,36
share,400,36
faithful,401,36
nature,402,36
judgment,403,36
object,404,36
large,405,36
sufficient,406,35
revolution,407,35
moment,408,35
already,409,35
necessity,410,35
view,411,35
courage,412,35
further,413,35
friends,414,35
certain,415,35
four,416,35
international,417,35
money,418,35
problems,419,34
pledge,420,34
population,421,34
permanent,422,34
conditions,423,34
little,424,34
chief,425,34
require,426,34
countries,427,34
promote,428,34
abroad,429,34
existence,430,34
thus,431,34
attention,432,34
rule,433,34
members,434,33
result,435,33
myself,436,33
instrument,437,33
patriotism,438,33
community,439,33
social,440,33
forward,441,33
solemn,442,33
produce,443,33
wealth,444,33
expect,445,32
degree,446,32
south,447,32
words,448,32
none,449,32
industrial,450,32
face,451,32
education,452,32
destiny,453,32
independent,454,32
speak,455,32
military,456,32
obligations,457,32
wise,458,32
conduct,459,31
tariff,460,31
dangers,461,31
powerful,462,31
wish,463,31
equally,464,31
fail,465,31
year,466,31
objects,467,31
industry,468,31
clear,469,31
discharge,470,31
extended,471,30
fathers,472,30
sound,473,30
single,474,30
mr,475,30
happy,476,30
portion,477,30
few,478,30
arms,479,30
small,480,30
different,481,30
extent,482,30
fact,483,30
property,484,30
due,485,30
placed,486,30
established,487,30
often,488,29
feel,489,29
want,490,29
election,491,29
whatever,492,29
citizenship,493,29
position,494,29
consideration,495,29
religious,496,29
generations,497,29
carry,498,29
advance,499,29
ability,500,29
seen,501,29
humanity,502,29
rather,503,29
during,504,28
set,505,28
honorable,506,28
women,507,28
several,508,28
reach,509,28
presence,510,28
unity,511,28
almighty,512,28
growth,513,28
think,514,28
responsibilities,515,28
remain,516,28
opinions,517,28
personal,518,28
neither,519,28
beginning,520,28
ideals,521,28
lead,522,28
truth,523,28
away,524,28
endeavor,525,27
feeling,526,27
determined,527,27
preserved,528,27
vast,529,27
provide,530,27
back,531,27
expression,532,27
ready,533,27
enterprise,534,27
views,535,27
enough,536,27
light,537,27
practical,538,27
sovereignty,539,27
devotion,540,27
departments,541,27
sacred,542,27
cooperation,543,26
hearts,544,26
patriotic,545,26
popular,546,26
constant,547,26
prevent,548,26
evil,549,26
came,550,26
though,551,26
legislative,552,26
harmony,553,26
private,554,26
material,555,26
turn,556,26
case,557,26
supreme,558,26
dignity,559,26
demand,560,26
preservation,561,26
mere,562,26
accept,563,25
slavery,564,25
cost,565,25
honest,566,25
equality,567,25
intercourse,568,25
sacrifice,569,25
parts,570,25
obligation,571,25
mutual,572,25
debt,573,25
differences,574,25
down,575,25
number,576,25
put,577,25
family,578,25
doubt,579,25
serve,580,25
return,581,25
needs,582,25
peaceful,583,25
perfect,584,25
known,585,25
something,586,24
leave,587,24
acts,588,24
communities,589,24
almost,590,24
conscience,591,24
improvement,592,24
keep,593,24
deeply,594,24
settled,595,24
integrity,596,24
majority,597,24
treaty,598,24
terms,599,24
destruction,600,24
secured,601,24
expenditures,602,24
pay,603,24
individuals,604,24
merely,605,24
difference,606,24
wrong,607,24
department,608,24
credit,609,24
seeking,610,24
forms,611,24
demands,612,24
bear,613,24
formed,614,24
required,615,24
measure,616,24
methods,617,24
longer,618,24
basis,619,24
chosen,620,23
vital,621,23
across,622,23
distinguished,623,23
forces,624,23
effective,625,23
perhaps,626,23
left,627,23
indeed,628,23
determination,629,23
enlightened,630,23
events,631,23
voice,632,23
currency,633,23
capacity,634,23
afford,635,23
defend,636,23
officers,637,23
providence,638,23
age,639,23
conflict,640,23
granted,641,23
increasing,642,22
early,643,22
belief,644,22
days,645,22
navy,646,22
benefits,647,22
science,648,22
fully,649,22
wars,650,22
clearly,651,22
rest,652,22
washington,653,22
soon,654,22
failure,655,22
remember,656,22
especially,657,22
point,658,22
himself,659,22
provided,660,22
firm,661,22
reform,662,22
ours,663,22
said,664,22
special,665,22
experiment,666,22
matters,667,22
difficulties,668,21
around,669,21
understanding,670,21
prosperous,671,21
adequate,672,21
",""",673,21
ancient,674,21
able,675,21
encouragement,676,21
internal,677,21
friendship,678,21
needed,679,21
build,680,21
complete,681,21
side,682,21
capital,683,21
leadership,684,21
republican,685,21
attempt,686,21
choice,687,21
express,688,21
manner,689,21
value,690,21
created,691,21
deep,692,21
practice,693,21
strengthen,694,21
young,695,21
destroy,696,21
instead,697,21
encourage,698,21
sometimes,699,21
taxation,700,21
concern,701,21
direction,702,21
rich,703,20
continued,704,20
continent,705,20
forth,706,20
enter,707,20
seem,708,20
provision,709,20
surely,710,20
generous,711,20
era,712,20
everywhere,713,20
vision,714,20
lines,715,20
responsible,716,20
join,717,20
causes,718,20
above,719,20
struggle,720,20
safe,721,20
legitimate,722,20
lands,723,20
real,724,20
sections,725,20
agriculture,726,20
virtue,727,20
add,728,20
development,729,20
limited,730,20
soil,731,20
results,732,20
values,733,20
consider,734,20
army,735,20
friendly,736,20
health,737,19
confederacy,738,19
amendment,739,19
intelligence,740,19
committed,741,19
energy,742,19
rules,743,19
open,744,19
burdens,745,19
counsel,746,19
immediate,747,19
subjects,748,19
except,749,19
former,750,19
nearly,751,19
operation,752,19
wisely,753,19
adoption,754,19
sentiment,755,19
democratic,756,19
short,757,19
hard,758,19
depend,759,19
waste,760,19
poverty,761,19
taxes,762,19
tax,763,19
reserved,764,19
greatly,765,19
recent,766,19
burden,767,19
achieve,768,19
functions,769,19
representatives,770,19
settlement,771,19
doing,772,19
europe,773,19
living,774,19
difficult,775,19
chance,776,19
various,777,19
existing,778,18
class,779,18
extend,780,18
perform,781,18
prescribed,782,18
maintenance,783,18
lies,784,18
remains,785,18
branch,786,18
enforcement,787,18
sure,788,18
passion,789,18
suffrage,790,18
strive,791,18
conviction,792,18
show,793,18
resolve,794,18
price,795,18
birth,796,18
official,797,18
execute,798,18
unless,799,18
standards,800,18
higher,801,18
¡,802,18
simple,803,18
peculiar,804,18
benefit,805,18
realize,806,18
path,807,18
assume,808,18
source,809,18
crisis,810,18
permit,811,18
earnest,812,18
treasury,813,18
satisfaction,814,18
neighbors,815,18
direct,816,18
products,817,18
enjoy,818,18
enforce,819,18
least,820,18
advantage,821,18
claim,822,18
weak,823,18
distant,824,18
brought,825,18
protected,826,18
govern,827,18
establish,828,18
maintained,829,18
concerns,830,17
carried,831,17
expected,832,17
exist,833,17
establishment,834,17
enemies,835,17
felt,836,17
modern,837,17
productive,838,17
sentiments,839,17
follow,840,17
section,841,17
considered,842,17
naval,843,17
person,844,17
second,845,17
liberal,846,17
respective,847,17
changes,848,17
issue,849,17
reasonable,850,17
false,851,17
organization,852,17
pass,853,17
gratitude,854,17
predecessor,855,17
understand,856,17
dream,857,17
held,858,17
places,859,17
appear,860,17
vice,861,17
off,862,17
strengthened,863,17
offer,864,17
policies,865,17
create,866,17
armed,867,17
genius,868,17
commercial,869,17
challenge,870,17
coast,871,17
religion,872,17
born,873,16
proud,874,16
dangerous,875,16
connected,876,16
consequences,877,16
privilege,878,16
bound,879,16
advantages,880,16
elected,881,16
bonds,882,16
relief,883,16
shown,884,16
guidance,885,16
obvious,886,16
twenty,887,16
balance,888,16
maintaining,889,16
seems,890,16
advancement,891,16
engaged,892,16
sides,893,16
voices,894,16
declared,895,16
precious,896,16
situation,897,16
term,898,16
rests,899,16
territories,900,16
station,901,16
pride,902,16
production,903,16
entire,904,16
proved,905,16
constantly,906,16
strict,907,16
why,908,16
restore,909,16
practicable,910,16
pursued,911,16
idea,912,16
increased,913,16
offices,914,16
authorities,915,16
renew,916,16
serious,917,16
jurisdiction,918,16
event,919,16
performance,920,16
trial,921,16
cherish,922,16
save,923,16
manufactures,924,16
north,925,16
t,926,16
construction,927,16
divine,928,16
bless,929,16
accomplished,930,16
standing,931,16
homes,932,15
faithfully,933,15
heretofore,934,15
suffering,935,15
senate,936,15
prayer,937,15
ways,938,15
schools,939,15
suffer,940,15
used,941,15
journey,942,15
blood,943,15
sustained,944,15
natural,945,15
ocean,946,15
declaration,947,15
larger,948,15
profound,949,15
requires,950,15
building,951,15
foundations,952,15
built,953,15
receive,954,15
continuance,955,15
alike,956,15
finally,957,15
led,958,15
controversies,959,15
discussion,960,15
founded,961,15
fixed,962,15
minds,963,15
justly,964,15
unite,965,15
wherever,966,15
command,967,15
thank,968,15
half,969,15
makes,970,15
decisions,971,15
useful,972,15
reduce,973,15
western,974,15
story,975,15
willing,976,15
answer,977,14
greatness,978,14
late,979,14
particular,980,14
successful,981,14
entitled,982,14
avoid,983,14
southern,984,14
session,985,14
promises,986,14
program,987,14
exists,988,14
taking,989,14
written,990,14
cheerfully,991,14
generally,992,14
sectional,993,14
invasion,994,14
forbearance,995,14
whilst,996,14
realized,997,14
remedy,998,14
000,999,14
supported,1000,14
believed,1001,14
scarcely,1002,14
leading,1003,14
relation,1004,14
branches,1005,14
likely,1006,14
court,1007,14
close,1008,14
privileges,1009,14
grant,1010,14
friend,1011,14
leaders,1012,14
lasting,1013,14
weapons,1014,14
aspirations,1015,14
fundamental,1016,14
based,1017,14
eyes,1018,14
universal,1019,14
adopted,1020,14
liberties,1021,14
cases,1022,14
abiding,1023,14
impossible,1024,14
actual,1025,14
contest,1026,14
drawn,1027,14
intended,1028,14
move,1029,14
european,1030,14
directly,1031,14
persons,1032,14
limitations,1033,14
followed,1034,14
partisan,1035,14
devoted,1036,14
legislature,1037,14
depression,1038,14
forever,1039,14
helped,1040,14
grateful,1041,14
divided,1042,14
violence,1043,14
challenges,1044,14
plans,1045,14
pursue,1046,14
instance,1047,14
expenditure,1048,14
mine,1049,14
separate,1050,14
became,1051,14
looking,1052,14
member,1053,14
rewards,1054,13
recommend,1055,13
difficulty,1056,13
employed,1057,13
name,1058,13
pacific,1059,13
disposition,1060,13
injury,1061,13
thing,1062,13
humble,1063,13
reliance,1064,13
learn,1065,13
crime,1066,13
consistent,1067,13
founders,1068,13
arise,1069,13
everything,1070,13
predecessors,1071,13
prejudice,1072,13
negro,1073,13
dreams,1074,13
press,1075,13
depends,1076,13
sought,1077,13
language,1078,13
belongs,1079,13
amount,1080,13
meaning,1081,13
markets,1082,13
matter,1083,13
provisions,1084,13
certainly,1085,13
restoration,1086,13
field,1087,13
mighty,1088,13
decision,1089,13
bill,1090,13
expressed,1091,13
employment,1092,13
renewed,1093,13
observe,1094,13
feelings,1095,13
next,1096,13
blessed,1097,13
tranquillity,1098,13
adopt,1099,13
met,1100,13
talents,1101,13
stronger,1102,13
pledged,1103,13
prepared,1104,13
contributed,1105,13
dark,1106,13
added,1107,13
promoted,1108,13
appeal,1109,13
abuses,1110,13
prejudices,1111,13
surplus,1112,13
fire,1113,13
injustice,1114,13
weight,1115,13
coming,1116,13
fate,1117,13
enjoyed,1118,13
stability,1119,13
sincere,1120,13
aggression,1121,13
happily,1122,13
failed,1123,13
interference,1124,13
changed,1125,13
sympathy,1126,13
learned,1127,13
legal,1128,13
narrow,1129,13
imposed,1130,13
centuries,1131,13
road,1132,13
mean,1133,13
advanced,1134,13
understood,1135,12
strictly,1136,12
ample,1137,12
zeal,1138,12
enterprises,1139,12
efficient,1140,12
presidential,1141,12
battle,1142,12
cultivate,1143,12
process,1144,12
father,1145,12
anxiety,1146,12
elections,1147,12
beloved,1148,12
along,1149,12
proof,1150,12
exalted,1151,12
directed,1152,12
fulfillment,1153,12
bind,1154,12
celebrate,1155,12
native,1156,12
revenues,1157,12
assurance,1158,12
consent,1159,12
comfort,1160,12
tasks,1161,12
wishes,1162,12
received,1163,12
assure,1164,12
points,1165,12
tyranny,1166,12
heaven,1167,12
observed,1168,12
¡¦,1169,12
financial,1170,12
endure,1171,12
information,1172,12
beneficent,1173,12
careful,1174,12
although,1175,12
combinations,1176,12
opportunities,1177,12
possess,1178,12
execution,1179,12
formation,1180,12
adapted,1181,12
bold,1182,12
republics,1183,12
industries,1184,12
contrary,1185,12
application,1186,12
raised,1187,12
glory,1188,12
globe,1189,12
families,1190,12
worthy,1191,12
intelligent,1192,12
begin,1193,12
consciousness,1194,12
evils,1195,12
problem,1196,12
solution,1197,12
according,1198,12
growing,1199,12
enable,1200,12
preserving,1201,12
declare,1202,12
dedication,1203,12
west,1204,12
officer,1205,12
sea,1206,12
mass,1207,12
division,1208,12
services,1209,12
communism,1210,12
gone,1211,12
threat,1212,12
favored,1213,12
numbers,1214,12
respecting,1215,12
additional,1216,12
steps,1217,12
bad,1218,12
reached,1219,12
exercised,1220,12
ground,1221,12
role,1222,12
kind,1223,12
assured,1224,12
competent,1225,12
recognized,1226,12
sustain,1227,12
respects,1228,12
hour,1229,12
lost,1230,12
loss,1231,12
flag,1232,12
ideal,1233,12
opposed,1234,12
enforced,1235,12
paid,1236,12
supposed,1237,12
islands,1238,11
entirely,1239,11
efficiency,1240,11
texas,1241,11
courts,1242,11
permitted,1243,11
agencies,1244,11
necessities,1245,11
theory,1246,11
inseparable,1247,11
servants,1248,11
tendency,1249,11
magistrate,1250,11
enlarged,1251,11
proceed,1252,11
destinies,1253,11
turning,1254,11
bearing,1255,11
seeks,1256,11
effects,1257,11
ideas,1258,11
welcome,1259,11
reflect,1260,11
inevitable,1261,11
militia,1262,11
humbly,1263,11
gives,1264,11
judicial,1265,11
play,1266,11
intrusted,1267,11
elements,1268,11
opposition,1269,11
blessing,1270,11
statesmen,1271,11
heard,1272,11
concession,1273,11
surrender,1274,11
child,1275,11
decent,1276,11
expansion,1277,11
civilized,1278,11
word,1279,11
house,1280,11
ill,1281,11
guide,1282,11
try,1283,11
emergency,1284,11
constituted,1285,11
keeping,1286,11
cherished,1287,11
acknowledged,1288,11
existed,1289,11
arbitration,1290,11
achievement,1291,11
thousands,1292,11
inauguration,1293,11
guaranty,1294,11
afforded,1295,11
covenant,1296,11
obedience,1297,11
councils,1298,11
arts,1299,11
address,1300,11
slave,1301,11
accepted,1302,11
correct,1303,11
lot,1304,11
plan,1305,11
whenever,1306,11
allies,1307,11
ignorance,1308,11
noble,1309,11
thereby,1310,11
vigor,1311,11
weakness,1312,11
succeed,1313,11
armies,1314,11
sources,1315,11
errors,1316,11
triumph,1317,11
attack,1318,11
kept,1319,11
break,1320,11
jefferson,1321,11
ordinary,1322,11
tribunal,1323,11
accomplish,1324,11
habits,1325,11
ages,1326,11
yes,1327,11
goal,1328,11
began,1329,11
ties,1330,11
interstate,1331,11
victory,1332,11
institution,1333,11
extraordinary,1334,11
admitted,1335,11
interfere,1336,11
comes,1337,11
cease,1338,11
knowing,1339,11
error,1340,11
appointment,1341,11
representative,1342,11
confidently,1343,11
commitment,1344,11
recognize,1345,11
nuclear,1346,10
enemy,1347,10
raise,1348,10
largely,1349,10
honored,1350,10
stands,1351,10
third,1352,10
strife,1353,10
reforms,1354,10
unnecessary,1355,10
organized,1356,10
violate,1357,10
divide,1358,10
market,1359,10
entering,1360,10
suggest,1361,10
cities,1362,10
classes,1363,10
perils,1364,10
read,1365,10
submit,1366,10
diversity,1367,10
divisions,1368,10
run,1369,10
mode,1370,10
contemplate,1371,10
possessed,1372,10
three,1373,10
threatened,1374,10
temporary,1375,10
punishment,1376,10
ceremony,1377,10
deserve,1378,10
energies,1379,10
affecting,1380,10
five,1381,10
working,1382,10
gold,1383,10
broad,1384,10
agitation,1385,10
shared,1386,10
agricultural,1387,10
violation,1388,10
british,1389,10
truly,1390,10
proposition,1391,10
adjustment,1392,10
grave,1393,10
toil,1394,10
seas,1395,10
test,1396,10
city,1397,10
activities,1398,10
necessarily,1399,10
march,1400,10
ends,1401,10
ultimate,1402,10
foundation,1403,10
easy,1404,10
examples,1405,10
saw,1406,10
utmost,1407,10
assembled,1408,10
recovery,1409,10
governed,1410,10
faculties,1411,10
proposed,1412,10
marked,1413,10
physical,1414,10
involved,1415,10
encouraging,1416,10
participation,1417,10
sacrifices,1418,10
posterity,1419,10
latter,1420,10
administer,1421,10
protecting,1422,10
behalf,1423,10
heritage,1424,10
final,1425,10
sacredly,1426,10
inhabitants,1427,10
apprehension,1428,10
invoke,1429,10
extension,1430,10
administered,1431,10
pray,1432,10
structure,1433,10
relieve,1434,10
master,1435,10
treaties,1436,10
produced,1437,10
step,1438,10
conscious,1439,10
employees,1440,10
arduous,1441,10
propose,1442,10
sanction,1443,10
politics,1444,10
hemisphere,1445,10
judge,1446,10
original,1447,10
occurred,1448,10
dare,1449,10
claims,1450,10
recognition,1451,10
hundred,1452,10
indispensable,1453,10
enduring,1454,10
despotism,1455,10
safely,1456,10
motives,1457,10
sphere,1458,10
poor,1459,10
leads,1460,10
rapid,1461,10
mission,1462,10
calling,1463,10
discipline,1464,10
profit,1465,10
anything,1466,10
partial,1467,10
senator,1468,10
asked,1469,10
gave,1470,10
discord,1471,10
calculated,1472,10
virtuous,1473,10
hostile,1474,10
works,1475,10
heroes,1476,10
deny,1477,10
wants,1478,10
instances,1479,10
selfish,1480,10
compromise,1481,10
sovereign,1482,10
favorable,1483,10
method,1484,10
distinction,1485,10
hitherto,1486,10
resist,1487,9
limit,1488,9
ballot,1489,9
properly,1490,9
promptly,1491,9
title,1492,9
record,1493,9
confident,1494,9
derived,1495,9
shores,1496,9
near,1497,9
prayers,1498,9
management,1499,9
shape,1500,9
aided,1501,9
honestly,1502,9
resolution,1503,9
diplomacy,1504,9
choose,1505,9
races,1506,9
realization,1507,9
productions,1508,9
candid,1509,9
thousand,1510,9
actions,1511,9
adherence,1512,9
wide,1513,9
steadily,1514,9
absolute,1515,9
ones,1516,9
lay,1517,9
compact,1518,9
easily,1519,9
wholly,1520,9
suffered,1521,9
anticipated,1522,9
otherwise,1523,9
dispute,1524,9
improve,1525,9
minorities,1526,9
charged,1527,9
urge,1528,9
witnessed,1529,9
assistance,1530,9
amendments,1531,9
fervent,1532,9
carrying,1533,9
assigned,1534,9
abandon,1535,9
grown,1536,9
prospect,1537,9
stood,1538,9
perpetual,1539,9
imposes,1540,9
surrendered,1541,9
surest,1542,9
becomes,1543,9
limitation,1544,9
labors,1545,9
acted,1546,9
standard,1547,9
imperative,1548,9
thoughts,1549,9
fortifications,1550,9
putting,1551,9
minority,1552,9
attained,1553,9
securing,1554,9
shrink,1555,9
expedient,1556,9
amity,1557,9
loans,1558,9
effected,1559,9
fall,1560,9
agents,1561,9
articles,1562,9
convention,1563,9
plain,1564,9
current,1565,9
concerning,1566,9
accordance,1567,9
entertained,1568,9
verdict,1569,9
meantime,1570,9
rivers,1571,9
considerations,1572,9
extravagance,1573,9
brief,1574,9
debts,1575,9
length,1576,9
denied,1577,9
white,1578,9
plainly,1579,9
spread,1580,9
promoting,1581,9
count,1582,9
disregard,1583,9
begun,1584,9
fulfill,1585,9
apply,1586,9
pursuit,1587,9
sum,1588,9
enjoyment,1589,9
climate,1590,9
appears,1591,9
ambition,1592,9
definite,1593,9
anew,1594,9
borne,1595,9
bestowed,1596,9
seemed,1597,9
solve,1598,9
discretion,1599,9
forgotten,1600,9
onward,1601,9
motive,1602,9
speedily,1603,9
expressly,1604,9
moved,1605,9
guided,1606,9
prove,1607,9
facilities,1608,9
suitable,1609,9
daily,1610,9
forget,1611,9
witness,1612,9
avail,1613,9
reference,1614,9
canal,1615,9
reject,1616,9
ardent,1617,9
concerned,1618,9
selected,1619,9
element,1620,9
commission,1621,9
revolutionary,1622,9
promotion,1623,9
accountability,1624,9
fears,1625,8
determine,1626,8
entertain,1627,8
swift,1628,8
collected,1629,8
insure,1630,8
laid,1631,8
neighbor,1632,8
issues,1633,8
exclusively,1634,8
tried,1635,8
solicitude,1636,8
convenience,1637,8
sole,1638,8
patriot,1639,8
indian,1640,8
dominions,1641,8
ultimately,1642,8
lose,1643,8
vote,1644,8
remembered,1645,8
armaments,1646,8
fruitful,1647,8
possessions,1648,8
goodness,1649,8
observance,1650,8
alliances,1651,8
opening,1652,8
attain,1653,8
disease,1654,8
sword,1655,8
spiritual,1656,8
tomorrow,1657,8
platform,1658,8
available,1659,8
holds,1660,8
mercy,1661,8
negotiation,1662,8
mountains,1663,8
dollar,1664,8
incident,1665,8
deficit,1666,8
don,1667,8
career,1668,8
idealism,1669,8
exact,1670,8
benign,1671,8
illustrious,1672,8
teach,1673,8
reward,1674,8
conflicting,1675,8
reaching,1676,8
presented,1677,8
taught,1678,8
terror,1679,8
expense,1680,8
eminent,1681,8
entered,1682,8
passions,1683,8
disaster,1684,8
group,1685,8
beneficial,1686,8
line,1687,8
speaks,1688,8
assist,1689,8
insist,1690,8
rise,1691,8
fearless,1692,8
affection,1693,8
areas,1694,8
else,1695,8
calls,1696,8
supporting,1697,8
intention,1698,8
arisen,1699,8
governmental,1700,8
quarter,1701,8
enabled,1702,8
guarantees,1703,8
compassion,1704,8
prompt,1705,8
scheme,1706,8
advancing,1707,8
counsels,1708,8
impressed,1709,8
renewal,1710,8
slightest,1711,8
lift,1712,8
regular,1713,8
fortunate,1714,8
retreat,1715,8
income,1716,8
assembly,1717,8
righteousness,1718,8
speaker,1719,8
appropriate,1720,8
merit,1721,8
applied,1722,8
evidence,1723,8
heavy,1724,8
restored,1725,8
altogether,1726,8
mindful,1727,8
prevail,1728,8
fidelity,1729,8
penalties,1730,8
destructive,1731,8
similar,1732,8
strongest,1733,8
helpful,1734,8
perfection,1735,8
eight,1736,8
account,1737,8
stop,1738,8
capable,1739,8
submitted,1740,8
preparation,1741,8
ignorant,1742,8
knew,1743,8
achieved,1744,8
reasons,1745,8
she,1746,8
banking,1747,8
remedies,1748,8
told,1749,8
aim,1750,8
executed,1751,8
rightful,1752,8
farm,1753,8
acting,1754,8
deem,1755,8
heads,1756,8
repeat,1757,8
charge,1758,8
fraternal,1759,8
furnish,1760,8
supply,1761,8
neutrality,1762,8
tolerance,1763,8
railroads,1764,8
agency,1765,8
neglect,1766,8
disputes,1767,8
pure,1768,8
yield,1769,8
principal,1770,8
despair,1771,8
rely,1772,8
dear,1773,8
urged,1774,8
served,1775,8
trying,1776,8
satisfactory,1777,8
continuing,1778,8
improvements,1779,8
remove,1780,8
season,1781,8
recommendations,1782,8
fallen,1783,8
materials,1784,8
dissolution,1785,8
soul,1786,8
successfully,1787,8
disturbed,1788,8
render,1789,8
recommended,1790,8
reverence,1791,8
accord,1792,8
lesson,1793,8
approach,1794,8
conformity,1795,8
inspire,1796,8
demanded,1797,8
anxious,1798,8
undertake,1799,8
consequence,1800,8
forced,1801,8
behind,1802,8
resort,1803,8
excitement,1804,8
historic,1805,8
fight,1806,8
speaking,1807,8
normal,1808,7
reduction,1809,7
overthrow,1810,7
calm,1811,7
reflection,1812,7
lawful,1813,7
strangers,1814,7
particularly,1815,7
farms,1816,7
conception,1817,7
agreement,1818,7
confederation,1819,7
tend,1820,7
excited,1821,7
acquisition,1822,7
abundant,1823,7
beauty,1824,7
creed,1825,7
