,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Net,Status
503,Color,Luc Besson,101.0,94.0,0.0,14.0,Adam LeFevre,563.0,15131330.0,Adventure|Animation|Family|Fantasy,Mia Farrow,Arthur and the Invisibles ,25843,683,Penny Balfour,0.0,boy|debt|garden|princess|treasure,http://www.imdb.com/title/tt0344854/?ref_=fn_tt_tt_1,64.0,English,France,PG,86000000.0,2006.0,80.0,6.0,2.35,941,-70868670.0,Negative
525,Color,Alfonso Cuarón,372.0,109.0,0.0,18.0,Danny Huston,16000.0,35286428.0,Drama|Sci-Fi|Thriller,Charlie Hunnam,Children of Men ,361767,16479,Rita Davies,0.0,chaos|england|long take|survival|violence,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,1206.0,English,USA,R,76000000.0,2006.0,430.0,7.9,1.85,17000,-40713572.0,Negative
529,Color,Carlos Saldanha,164.0,115.0,107.0,241.0,Ray Romano,835.0,195329763.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Ice Age: The Meltdown ,194249,1815,Jay Leno,0.0,flood|mammoth|no opening credits|squirrel|valley,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,253.0,English,USA,PG,80000000.0,2006.0,590.0,6.9,1.85,0,115329763.0,Positive
542,Color,Bill Condon,241.0,130.0,386.0,525.0,Jennifer Hudson,912.0,103338338.0,Drama|Music|Musical,Loretta Devine,Dreamgirls ,55901,2856,Anika Noni Rose,0.0,1960s|fire|pop chart|singer|trio,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,503.0,English,USA,PG-13,70000000.0,2006.0,549.0,6.5,2.35,0,33338338.0,Positive
550,Color,Gil Kenan,190.0,91.0,27.0,925.0,Jon Heder,12000.0,73661010.0,Animation|Comedy|Family|Fantasy|Mystery,Steve Buscemi,Monster House ,71137,17299,Catherine O'Hara,0.0,babysitter|halloween|house|neighbor|suburb,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,229.0,English,USA,PG,75000000.0,2006.0,970.0,6.6,2.35,0,-1338990.0,Negative
571,Color,Adam McKay,164.0,122.0,285.0,989.0,Leslie Bibb,8000.0,148213377.0,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,130776,12410,Gary Cole,5.0,car racing|french|friend|nascar|racing,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,437.0,English,USA,PG-13,73000000.0,2006.0,1000.0,6.6,2.35,0,75213377.0,Positive
583,Color,John Lasseter,256.0,117.0,487.0,769.0,Cheech Marin,1000.0,244052771.0,Adventure|Animation|Comedy|Family|Sport,John Ratzenberger,Cars ,263853,4905,George Carlin,0.0,car|desert|route 66|tow truck|truck,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,584.0,English,USA,G,120000000.0,2006.0,843.0,7.2,2.35,0,124052771.0,Positive
595,Color,M. Night Shyamalan,284.0,110.0,0.0,559.0,Freddy Rodríguez,3000.0,42272747.0,Drama|Fantasy|Mystery|Thriller,Bryce Dallas Howard,Lady in the Water ,78635,5609,Bob Balaban,1.0,apartment|bedtime story|eagle|stuttering|swimming pool,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,1040.0,English,USA,PG-13,70000000.0,2006.0,579.0,5.6,1.85,0,-27727253.0,Negative
627,Color,Michael Caton-Jones,159.0,116.0,105.0,246.0,Indira Varma,844.0,5851188.0,Crime|Mystery|Thriller,Charlotte Rampling,Basic Instinct 2 ,31124,1899,Neil Maskell,1.0,drugs|murder|psychiatrist|scotland yard|sex,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,313.0,English,UK,R,70000000.0,2006.0,729.0,4.2,2.35,764,-64148812.0,Negative
668,Color,Oliver Stone,242.0,129.0,0.0,625.0,Jay Hernandez,12000.0,70236496.0,Drama|History|Thriller,Nicolas Cage,World Trade Center ,67395,14421,Armando Riesco,0.0,based on true story|police|rescue|rubble|trapped,http://www.imdb.com/title/tt0469641/?ref_=fn_tt_tt_1,564.0,English,USA,PG-13,63000000.0,2006.0,1000.0,6.0,1.85,0,7236496.0,Positive
684,Color,McG,96.0,131.0,368.0,383.0,Kimberly Williams-Paisley,11000.0,43532294.0,Drama|Sport,Matthew McConaughey,We Are Marshall ,46951,12088,Brian Geraghty,0.0,coach|football|football team|marshall university|university,http://www.imdb.com/title/tt0758794/?ref_=fn_tt_tt_1,175.0,English,USA,PG,65000000.0,2006.0,529.0,7.1,2.35,0,-21467706.0,Negative
694,Color,Tom Tykwer,226.0,147.0,670.0,16.0,David Calder,177.0,2208939.0,Crime|Drama|Fantasy,Michael Smiley,Perfume: The Story of a Murderer ,190490,253,Simon Chandler,0.0,18th century|perfume|scent|sense of smell|smell,http://www.imdb.com/title/tt0396171/?ref_=fn_tt_tt_1,482.0,English,Germany,R,50000000.0,2006.0,27.0,7.5,2.35,26000,-47791061.0,Negative
701,Color,Keenen Ivory Wayans,78.0,98.0,322.0,723.0,Brittany Daniel,979.0,58255287.0,Comedy|Crime,Chazz Palminteri,Littleman ,39471,6334,John Witherspoon,1.0,diamond|infant|parody|spoof|sports violence,http://www.imdb.com/title/tt0430304/?ref_=fn_tt_tt_1,187.0,English,USA,PG-13,64000000.0,2006.0,862.0,4.3,1.85,0,-5744713.0,Negative
709,Color,Zack Snyder,460.0,117.0,0.0,447.0,Michael Fassbender,18000.0,210592590.0,Action|Drama|Fantasy|War,Gerard Butler,300 ,607235,32360,Vincent Regan,0.0,battle|epic|greece|spartan|warrior,http://www.imdb.com/title/tt0416449/?ref_=fn_tt_tt_1,2073.0,English,USA,R,65000000.0,2006.0,13000.0,7.7,2.35,13000,145592590.0,Positive
747,Color,Brian Robbins,76.0,98.0,48.0,722.0,Joel David Moore,21000.0,61112916.0,Comedy|Family|Fantasy,Robert Downey Jr.,The Shaggy Dog ,14888,24664,Kristin Davis,0.0,animal as human|dog movie|elevator|human becoming an animal|sheepdog,http://www.imdb.com/title/tt0393735/?ref_=fn_tt_tt_1,83.0,English,USA,PG,50000000.0,2006.0,936.0,4.4,2.35,747,11112916.0,Positive
776,Color,Clark Johnson,161.0,107.0,69.0,206.0,David Rasche,310.0,36279230.0,Action|Crime|Thriller,Blair Brown,The Sentinel ,42144,1352,Martin Donovan,0.0,first lady|framed|investigation|president|secret service,http://www.imdb.com/title/tt0443632/?ref_=fn_tt_tt_1,213.0,English,USA,PG-13,60000000.0,2006.0,219.0,6.1,2.35,690,-23720770.0,Negative
796,Color,Brian De Palma,240.0,121.0,0.0,854.0,Mia Kirshner,19000.0,22518325.0,Crime|Drama|Mystery|Thriller,Scarlett Johansson,The Black Dahlia ,63363,22833,Mike Starr,0.0,black dahlia|boxer|corpse|death|partner,http://www.imdb.com/title/tt0387877/?ref_=fn_tt_tt_1,644.0,English,Germany,R,50000000.0,2006.0,972.0,5.6,2.35,0,-27481675.0,Negative
797, Black and White,Tony Bill,123.0,140.0,23.0,579.0,Tyler Labine,11000.0,13082288.0,Action|Adventure|Drama|History|Romance|War,James Franco,Flyboys ,35565,12634,Philip Winchester,1.0,american|france|military|pilot|training,http://www.imdb.com/title/tt0454824/?ref_=fn_tt_tt_1,247.0,English,UK,PG-13,60000000.0,2006.0,779.0,6.6,2.35,2000,-46917712.0,Negative
851,Color,Gabriele Muccino,201.0,117.0,125.0,168.0,Kurt Fuller,10000.0,162586036.0,Biography|Drama,Will Smith,The Pursuit of Happyness ,338383,11036,James Karen,0.0,bus|intern|internship|salesman|stockbroker,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611.0,English,USA,PG-13,55000000.0,2006.0,617.0,8.0,2.35,32000,107586036.0,Positive
897,Color,Anthony Russo,136.0,110.0,94.0,240.0,Billy Gardell,277.0,75604320.0,Comedy|Romance,Todd Stashwick,"You, Me and Dupree ",68417,847,Amanda Detmer,1.0,best friend|foot fetish|houseguest|newlywed|wedding,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,195.0,English,USA,PG-13,54000000.0,2006.0,245.0,5.6,1.85,0,21604320.0,Positive
900, Black and White,Steven Zaillian,127.0,128.0,234.0,581.0,Anthony Hopkins,14000.0,7221458.0,Drama|Thriller,Kate Winslet,All the King's Men ,20740,27614,Kevin Dunn,0.0,governor|journalist|louisiana|mistress|politician,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,178.0,English,Germany,PG-13,55000000.0,2006.0,12000.0,6.2,1.85,0,-47778542.0,Negative
906,Color,Clint Eastwood,279.0,135.0,16000.0,310.0,Chris Bauer,23000.0,33574332.0,Drama|History|War,Paul Walker,Flags of Our Fathers ,101221,24468,Tom McCarthy,0.0,imperial japan|japan|japanese army|japanese soldier|world war two,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,415.0,English,USA,R,90000000.0,2006.0,638.0,7.1,2.35,0,-56425668.0,Negative
913,Color,Peyton Reed,183.0,106.0,235.0,931.0,John Michael Higgins,4000.0,118683135.0,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,102167,8315,Ann-Margret,1.0,art|break up|football video game|kitchen|talking to one's self in a mirror,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,483.0,English,USA,PG-13,52000000.0,2006.0,957.0,5.8,1.85,0,66683135.0,Positive
924,Color,Steve Oedekerk,98.0,90.0,176.0,523.0,Wanda Sykes,677.0,72601713.0,Animation|Comedy|Family,Rob Paulsen,Barnyard ,21396,2055,Maurice LaMarche,1.0,cow|farmer|howl|howling at the moon|vegetarian,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,155.0,English,Germany,PG,51000000.0,2006.0,560.0,5.6,1.85,605,21601713.0,Positive
946,Color,Spike Lee,230.0,129.0,0.0,277.0,James Ransone,18000.0,88504640.0,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,2.0,bank|detective|negotiation|police|robber,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,646.0,English,USA,R,45000000.0,2006.0,412.0,7.6,2.35,0,43504640.0,Positive
951,Color,Tom Dey,143.0,95.0,9.0,11000.0,Matthew McConaughey,14000.0,88658172.0,Comedy|Romance,Bradley Cooper,Failure to Launch ,58412,37967,Zooey Deschanel,2.0,friend|intervention|moving|secret|slacker,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,242.0,English,USA,PG-13,50000000.0,2006.0,11000.0,5.6,2.35,2000,38658172.0,Positive
963,Color,Matthew O'Callaghan,87.0,78.0,5.0,1000.0,Frank Welker,8000.0,58336565.0,Adventure|Animation|Comedy|Family,Will Ferrell,Curious George ,12845,11124,Alexander Gould,0.0,hat|monkey|museum|shrine|yellow,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,118.0,English,USA,G,50000000.0,2006.0,2000.0,6.6,1.85,624,8336565.0,Positive
972,Color,Richard Loncraine,171.0,105.0,12.0,935.0,Harrison Ford,87000.0,48745150.0,Crime|Thriller,Jimmy Bennett,Firewall ,50170,101383,Mary Lynn Rajskub,1.0,architect|bank|cayman islands|meeting|murder,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,306.0,English,USA,PG-13,50000000.0,2006.0,11000.0,5.8,2.35,773,-1254850.0,Negative
976,Color,Christophe Gans,267.0,132.0,50.0,368.0,Deborah Kara Unger,992.0,46982632.0,Adventure|Horror|Mystery,Radha Mitchell,Silent Hill ,172792,1933,Alice Krige,0.0,gothic|police|police officer|silent hill|sleepwalking,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,1740.0,English,Canada,R,50000000.0,2006.0,495.0,6.6,2.35,0,-3017368.0,Negative
1062,Color,Paul Bolger,93.0,75.0,0.0,677.0,George Carlin,4000.0,15519841.0,Adventure|Animation|Comedy|Family|Fantasy,Sarah Michelle Gellar,Happily N'Ever After ,8693,6863,Rob Paulsen,3.0,apostrophe in title|cinderella|first of series|punctuation in title|three word title,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71.0,English,USA,PG,47000000.0,2006.0,769.0,4.5,1.85,261,-31480159.0,Negative
1105,Color,Wayne Wang,99.0,112.0,61.0,501.0,Alicia Witt,1000.0,38360195.0,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,21215,3757,Timothy Hutton,1.0,chef|congressman|cook|hotel|senator,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,116.0,English,USA,PG-13,45000000.0,2006.0,976.0,6.4,2.35,0,-6639805.0,Negative
1111,Color,John A. Davis,105.0,88.0,8.0,8000.0,Meryl Streep,12000.0,28133159.0,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,Julia Roberts,1.0,ant|miniaturization|punishment|shrinking|sudden change in size,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70.0,English,USA,PG,50000000.0,2006.0,11000.0,5.9,1.85,593,-21866841.0,Negative
1115,Color,Richard Donner,199.0,102.0,503.0,795.0,David Zayas,13000.0,36883539.0,Action|Crime|Drama|Thriller,Bruce Willis,16 Blocks ,112769,15053,Sasha Roiz,2.0,alcoholic|courthouse|detective|jail|witness,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305.0,English,Germany,PG-13,52000000.0,2006.0,929.0,6.6,2.35,0,-15116461.0,Negative
1129,Color,Yimou Zhang,189.0,114.0,611.0,10.0,Ye Liu,879.0,6565495.0,Drama|Romance,Li Gong,Curse of the Golden Flower ,36455,949,Man Li,2.0,china|chrysanthemum|emperor|empress|prince,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,229.0,Mandarin,China,R,45000000.0,2006.0,52.0,7.0,2.35,0,-38434505.0,Negative
1145,Color,Len Wiseman,206.0,102.0,235.0,520.0,Tony Curran,956.0,62318875.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,156225,2998,Derek Jacobi,1.0,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502.0,English,USA,R,50000000.0,2006.0,845.0,6.8,2.35,0,12318875.0,Positive
1199,Color,David Zucker,151.0,89.0,119.0,807.0,Carmen Electra,2000.0,90703745.0,Comedy,Beau Mirchoff,Scary Movie 4 ,93748,5855,Regina Hall,8.0,female nudity|male nudity|parody|reference to myspace|sequel,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,410.0,English,USA,PG-13,45000000.0,2006.0,869.0,5.1,1.85,1000,45703745.0,Positive
1208,Color,Frank Marshall,118.0,120.0,155.0,249.0,Bruce Greenwood,23000.0,81593527.0,Adventure|Drama|Family,Paul Walker,Eight Below ,48806,24300,Wendy Crewson,1.0,antarctica|dog|siberian husky|sled dog|survival,http://www.imdb.com/title/tt0397313/?ref_=fn_tt_tt_1,263.0,English,USA,PG,40000000.0,2006.0,984.0,7.3,2.35,11000,41593527.0,Positive
1218,Color,John Whitesell,65.0,99.0,14.0,633.0,Nia Long,17000.0,70163652.0,Comedy|Crime,Chloë Grace Moretz,Big Momma's House 2 ,31968,19334,Marisol Nichols,0.0,cheerleading|fbi|fbi agent|nanny|undercover,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,82.0,English,USA,PG-13,40000000.0,2006.0,826.0,4.6,1.85,663,30163652.0,Positive
1233,Color,Christopher Nolan,341.0,130.0,22000.0,19000.0,Hugh Jackman,23000.0,53082743.0,Drama|Mystery|Sci-Fi|Thriller,Christian Bale,The Prestige ,844052,63986,Scarlett Johansson,1.0,illusion|magician|obsession|rivalry|secret,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,1100.0,English,USA,PG-13,40000000.0,2006.0,20000.0,8.5,2.35,49000,13082743.0,Positive
1236,Color,Mel Gibson,283.0,139.0,0.0,19.0,Dalia Hernández,708.0,50859889.0,Action|Adventure|Drama|Thriller,Rudy Youngblood,Apocalypto ,236000,848,Jonathan Brewer,0.0,jaguar|mayan|solar eclipse|tribe|village,http://www.imdb.com/title/tt0472043/?ref_=fn_tt_tt_1,1043.0,Maya,USA,R,40000000.0,2006.0,78.0,7.8,1.85,14000,10859889.0,Positive
1241,Color,Alejandro Agresti,175.0,99.0,18.0,211.0,Dylan Walsh,18000.0,52320979.0,Drama|Fantasy|Romance,Keanu Reeves,The Lake House ,114321,18693,Ebon Moss-Bachrach,0.0,house|lake|letter|love across time|parallel time,http://www.imdb.com/title/tt0410297/?ref_=fn_tt_tt_1,548.0,English,USA,PG,40000000.0,2006.0,426.0,6.8,2.35,0,12320979.0,Positive
1290,Color,Sofia Coppola,260.0,123.0,0.0,826.0,Shirley Henderson,4000.0,15962471.0,Biography|Drama|History|Romance,Kirsten Dunst,Marie Antoinette ,79892,7243,Rip Torn,1.0,austria|cake|france|queen|versailles,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,619.0,English,USA,PG-13,40000000.0,2006.0,887.0,6.4,1.85,0,-24037529.0,Negative
1318,Color,Geoffrey Sax,66.0,93.0,13.0,173.0,Sophie Okonedo,15000.0,652526.0,Action|Adventure|Family|Thriller,Alex Pettyfer,Alex Rider: Operation Stormbreaker ,20201,15638,Ashley Walters,3.0,14 year old|british|gadget|spy|training,http://www.imdb.com/title/tt0457495/?ref_=fn_tt_tt_1,187.0,English,Germany,PG,40000000.0,2006.0,460.0,5.1,2.35,823,-39347474.0,Negative
1408,Color,David Frankel,208.0,109.0,64.0,505.0,Anne Hathaway,11000.0,124732962.0,Comedy|Drama|Romance,Meryl Streep,The Devil Wears Prada ,286178,23923,Rebecca Mader,0.0,fashion|fashion industry|magazine|new york city|publishing,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,631.0,English,USA,PG-13,35000000.0,2006.0,11000.0,6.8,2.35,0,89732962.0,Positive
1434,Color,Dennis Dugan,90.0,75.0,221.0,553.0,Jon Heder,11000.0,57651794.0,Comedy|Romance|Sport,Jon Lovitz,The Benchwarmers ,40651,13125,Tim Meadows,2.0,baseball|baseball team|bully|millionaire|team,http://www.imdb.com/title/tt0437863/?ref_=fn_tt_tt_1,209.0,English,USA,PG-13,33000000.0,2006.0,970.0,5.6,1.85,0,24651794.0,Positive
1450,Color,Catherine Hardwicke,122.0,101.0,308.0,206.0,Hiam Abbass,446.0,37617947.0,Drama|Family|Fantasy,Keisha Castle-Hughes,The Nativity Story ,8143,966,Shaun Toub,0.0,angel|bethlehem|journey|nazareth|virgin,http://www.imdb.com/title/tt0762121/?ref_=fn_tt_tt_1,203.0,English,USA,PG,30000000.0,2006.0,224.0,6.8,2.35,0,7617947.0,Positive
1495,Color,Peter Hewitt,63.0,83.0,12.0,690.0,Rip Torn,2000.0,11631245.0,Action|Adventure|Family|Sci-Fi,Kevin Zegers,Zoom ,15015,5022,Thomas F. Wilson,5.0,bruise|female hero|super strength|superhero|teenage superhero,http://www.imdb.com/title/tt0383060/?ref_=fn_tt_tt_1,113.0,English,USA,PG,35000000.0,2006.0,826.0,4.2,1.85,494,-23368755.0,Negative
